TX,TY,TZ
-9.368134866525835,-9.368134866525835,34.16432022280874
-9.43273770886257,-9.43273770886257,34.451356598925216
-9.497192464454695,-9.497192464454695,34.73890001117813
-9.56149430438662,-9.56149430438662,35.026940801736316
-9.625638399742765,-9.625638399742765,35.315469312768606
-9.689619921607544,-9.689619921607544,35.60447588644383
-9.75343404106537,-9.75343404106537,35.893950864930815
-9.817075929200659,-9.817075929200659,36.18388459039837
-9.880540757097826,-9.880540757097826,36.47426740501537
-9.943823695841285,-9.943823695841285,36.76508965095061
-10.006919916515454,-10.006919916515454,37.05634167037293
-10.069824590204739,-10.069824590204739,37.34801380545115
-10.132532887993566,-10.132532887993566,37.64009639835411
-10.195039980966346,-10.195039980966346,37.932579791250646
-10.257341040207491,-10.257341040207491,38.22545432630958
-10.319431236801414,-10.319431236801414,38.51871034569973
-10.381305741832538,-10.381305741832538,38.812338191589944
-10.442959726385272,-10.442959726385272,39.106328206149044
-10.50438836154403,-10.50438836154403,39.40067073154585
-10.565586818393232,-10.565586818393232,39.69535610994922
-10.62655026801729,-10.62655026801729,39.99037468352796
-10.687273881500618,-10.687273881500618,40.285716794450906
-10.747752829927627,-10.747752829927627,40.581372784886874
-10.80798228438274,-10.80798228438274,40.87733299700473
-10.867957415950368,-10.867957415950368,41.173587772973264
-10.927673395714928,-10.927673395714928,41.47012745496133
-10.987125394760827,-10.987125394760827,41.76694238513773
-11.046308584172492,-11.046308584172492,42.064022905671344
-11.105218135034331,-11.105218135034331,42.36135935873096
-11.163849218430757,-11.163849218430757,42.6589420864854
-11.222197005446185,-11.222197005446185,42.95676143110354
-11.28025666716504,-11.28025666716504,43.25480773475417
-11.338023374671723,-11.338023374671723,43.553071339606134
-11.395492299050652,-11.395492299050652,43.85154258782825
-11.452658611386248,-11.452658611386248,44.150211821589366
-11.509517482762925,-11.509517482762925,44.449069383058315
-11.566064084265092,-11.566064084265092,44.7481056144039
-11.622293586977165,-11.622293586977165,45.047310857794955
-11.678201161983566,-11.678201161983566,45.34667545540033
-11.733781980368704,-11.733781980368704,45.64618974938887
-11.78903121321699,-11.78903121321699,45.94584408192934
-11.843944031612846,-11.843944031612846,46.245628795190626
-11.898515606640688,-11.898515606640688,46.54553423134154
-11.952741109384926,-11.952741109384926,46.845550732550926
-12.006615710929971,-12.006615710929971,47.14566864098757
-12.060134582360249,-12.060134582360249,47.44587829882036
-12.113292894760164,-12.113292894760164,47.74617004821809
-12.16608581921414,-12.16608581921414,48.046534231349604
-12.218508526806584,-12.218508526806584,48.3469611903837
-12.270556188621915,-12.270556188621915,48.64744126748925
-12.322223975744551,-12.322223975744551,48.94796480483507
-12.373507059258895,-12.373507059258895,49.24852214458997
-12.424400610249375,-12.424400610249375,49.549103628922815
-12.474899799800403,-12.474899799800403,49.84969960000241
-12.524999798996388,-12.524999798996388,50.15030039999759
-12.574695778921749,-12.574695778921749,50.45089637107718
-12.623982910660901,-12.623982910660901,50.751477855410016
-12.672856365298259,-12.672856365298259,51.052035195164926
-12.721311313918234,-12.721311313918234,51.352558732510744
-12.769342927605242,-12.769342927605242,51.65303880961629
-12.816946377443703,-12.816946377443703,51.953465768650396
-12.864116834518029,-12.864116834518029,52.25382995178191
-12.910849469912629,-12.910849469912629,52.554121701179625
-12.95713945471193,-12.95713945471193,52.85433135901241
-13.002981960000337,-13.002981960000337,53.15444926744908
-13.048372156862266,-13.048372156862266,53.45446576865845
-13.093305216382136,-13.093305216382136,53.75437120480936
-13.137776309644362,-13.137776309644362,54.054155918070656
-13.181780607733351,-13.181780607733351,54.35381025061114
-13.225313281733527,-13.225313281733527,54.653324544599656
-13.2683695027293,-13.2683695027293,54.952689142205024
-13.310944441805084,-13.310944441805084,55.2518943855961
-13.353033270045298,-13.353033270045298,55.55093061694169
-13.394631158534352,-13.394631158534352,55.84978817841062
-13.435733278356665,-13.435733278356665,56.14845741217174
-13.476334800596653,-13.476334800596653,56.44692866039387
-13.516430896338726,-13.516430896338726,56.745192265245834
-13.5560167366673,-13.5560167366673,57.04323856889645
-13.595087492666785,-13.595087492666785,57.34105791351458
-13.633638335421612,-13.633638335421612,57.63864064126905
-13.67166443601618,-13.67166443601618,57.93597709432866
-13.70916096553491,-13.70916096553491,58.23305761486225
-13.746123095062217,-13.746123095062217,58.529872545038664
-13.782545995682511,-13.782545995682511,58.826412227026736
-13.818424838480215,-13.818424838480215,59.12266700299526
-13.853754794539743,-13.853754794539743,59.418627215113105
-13.888531034945501,-13.888531034945501,59.71428320554909
-13.922748730781912,-13.922748730781912,60.00962531647204
-13.95640305313339,-13.95640305313339,60.30464389005076
-13.989489173084337,-13.989489173084337,60.599329268454134
-14.02200226171919,-14.02200226171919,60.89367179385095
-14.053937490122355,-14.053937490122355,61.187661808410056
-14.085290029378239,-14.085290029378239,61.481289654300255
-14.116055050571262,-14.116055050571262,61.774545673690426
-14.146227724785842,-14.146227724785842,62.06742020874935
-14.175803223106385,-14.175803223106385,62.35990360164588
-14.204776716617314,-14.204776716617314,62.65198619454883
-14.23314337640305,-14.23314337640305,62.94365832962707
-14.260898373547992,-14.260898373547992,63.234910349049386
-14.288036879136563,-14.288036879136563,63.525732594984625
-14.31455406425318,-14.31455406425318,63.81611540960161
-14.34044509998225,-14.34044509998225,64.10604913506918
-14.365705157408204,-14.365705157408204,64.39552411355616
-14.390329407615432,-14.390329407615432,64.68453068723139
-14.414313021688372,-14.414313021688372,64.97305919826367
-14.43765117071143,-14.43765117071143,65.26109998882187
-14.460339025769017,-14.460339025769017,65.54864340107477
-14.48237175794555,-14.48237175794555,65.83567977719125
-14.50374453832545,-14.50374453832545,66.12219945934011
-14.524452537993124,-14.524452537993124,66.4081927896902
-14.544490928032989,-14.544490928032989,66.69365011041033
-14.563854879529458,-14.563854879529458,66.97856176366933
-14.582539563566957,-14.582539563566957,67.26291809163605
-14.600540151229886,-14.600540151229886,67.5467094364793
-14.617851813602666,-14.617851813602666,67.82992614036793
-14.634469721769715,-14.634469721769715,68.11255854547073
-14.650389046815441,-14.650389046815441,68.39459699395658
-14.665604959824268,-14.665604959824268,68.67603182799428
-14.680112631880604,-14.680112631880604,68.95685338975265
-14.693907234068863,-14.693907234068863,69.23705202140056
-14.70698393747346,-14.70698393747346,69.5166180651068
-14.719337913178812,-14.719337913178812,69.7955418630402
-14.730964332269338,-14.730964332269338,70.07381375736963
-14.74185836582945,-14.74185836582945,70.35142409026389
-14.752015184943566,-14.752015184943566,70.6283632038918
-14.76142996069608,-14.76142996069608,70.90462144042222
-14.770097864171444,-14.770097864171444,71.18018914202395
-14.778014066454038,-14.778014066454038,71.45505665086584
-14.785173738628291,-14.785173738628291,71.7292143091167
-14.791572051778623,-14.791572051778623,72.00265245894538
-14.79720417698945,-14.79720417698945,72.2753614425207
-14.802065285345165,-14.802065285345165,72.5473316020115
-14.806150547930208,-14.806150547930208,72.81855327958658
-14.809455135828983,-14.809455135828983,73.0890168174148
-14.811974220125908,-14.811974220125908,73.358712557665
-14.813702971905396,-14.813702971905396,73.62763084250597
-14.814636562251856,-14.814636562251856,73.89576201410657
-14.814770162249712,-14.814770162249712,74.1630964146356
-14.814098942983371,-14.814098942983371,74.42962438626193
-14.812618075537259,-14.812618075537259,74.69533627115435
-14.810322730995786,-14.810322730995786,74.96022241148172
-14.807208080443356,-14.807208080443356,75.22427314941287
-14.803269294964394,-14.803269294964394,75.4874788271166
-14.798501545643322,-14.798501545643322,75.74982978676175
-14.792900003564547,-14.792900003564547,76.01131637051718
-14.786459839812473,-14.786459839812473,76.2719289205517
-14.779176225471538,-14.779176225471538,76.5316577790341
-14.771044331626136,-14.771044331626136,76.79049328813328
-14.762059329360682,-14.762059329360682,77.04842579001803
-14.75221638975961,-14.75221638975961,77.30544562685718
-14.741510683907322,-14.741510683907322,77.56154314081955
-14.729937382888231,-14.729937382888231,77.81670867407401
-14.71749165778676,-14.71749165778676,78.07093256878936
-14.70416867968732,-14.70416867968732,78.32420516713444
-14.689963619674316,-14.689963619674316,78.57651681127805
-14.67487164883218,-14.67487164883218,78.82785784338907
-14.658887938245314,-14.658887938245314,79.0782186056363
-14.64200765899814,-14.64200765899814,79.32758944018856
-14.62422598217507,-14.62422598217507,79.57596068921468
-14.60553807886052,-14.60553807886052,79.82332269488353
-14.58593912013891,-14.58593912013891,80.06966579936392
-14.565424277094635,-14.565424277094635,80.31498034482465
-14.54398872081213,-14.54398872081213,80.55925667343456
-14.521627622375803,-14.521627622375803,80.80248512736252
-14.498336152870074,-14.498336152870074,81.04465604877733
-14.474109483379351,-14.474109483379351,81.2857597798478
-14.448942784988049,-14.448942784988049,81.52578666274279
-14.42283122878058,-14.42283122878058,81.76472703963113
-14.395769985841376,-14.395769985841376,82.00257125268162
-14.367754227254835,-14.367754227254835,82.23930964406313
-14.338779124105372,-14.338779124105372,82.47493255594445
-14.308839847477415,-14.308839847477415,82.70943033049443
-14.277931568455365,-14.277931568455365,82.9427933098819
-14.246049458123636,-14.246049458123636,83.17501183627571
-14.213188687566657,-14.213188687566657,83.40607625184464
-14.179344427868827,-14.179344427868827,83.63597689875756
-14.144511850114583,-14.144511850114583,83.8647041191833
-14.10868612538831,-14.10868612538831,84.09224825529066
-14.071862424774444,-14.071862424774444,84.31859964924848
-14.034035919357393,-14.034035919357393,84.54374864322561
-13.995201780221578,-13.995201780221578,84.76768557939087
-13.955355178451406,-13.955355178451406,84.99040079991308
-13.914491285131291,-13.914491285131291,85.21188464696108
-13.872605271345655,-13.872605271345655,85.43212746270368
